"","Farm.CODE","Latitude","Longitude","SUB.LOCATION","Season","PLOTCODE","TREATMENT","HARVEST.AREA..M2.","PLANT.COUNT","NO..OF.COBS","COB.F.W...Kg.","yield.t.ha","stov.t.ha"
"25","F5",0.16301,34.39183,"Yiro East","LR2016","F55","NPK",6.75,31,31,5.11,2.92961316872428,3.04237037037037
"26","F6",0.09649,34.41325,"Sirembe","LR2016","F61","Control",6.75,29,20,0.937,0.668844613434728,1.54962962962963
"27","F6",0.09649,34.41325,"Sirembe","LR2016","F62","PK",6.75,41,25,1.295,0.865343209876543,2.04948148148148
"28","F6",0.09649,34.41325,"Sirembe","LR2016","F63","NK",6.75,35,24,2.034,1.19107670250896,2.22548148148148
"29","F6",0.09649,34.41325,"Sirembe","LR2016","F64","NP",6.75,32,24,1.021,0.825709121419154,1.70555555555556
"30","F6",0.09649,34.41325,"Sirembe","LR2016","F65","NPK",6.75,37,29,3.134,2.2329140367258,5.31792592592593
"31","F7",0.15438,34.39875,"Malanga","LR2016","F71","Control",6.75,29,27,4.247,2.83112184251478,2.55940740740741
"32","F7",0.15438,34.39875,"Malanga","LR2016","F72","PK",6.75,37,25,6.249,4.44401124035856,2.81037037037037
"33","F7",0.15438,34.39875,"Malanga","LR2016","F73","NK",6.75,32,31,8.04,5.44341870943108,4.64592592592593
"34","F7",0.15438,34.39875,"Malanga","LR2016","F74","NP",6.75,22,24,6.874,5.19293881439513,4.73822222222222
"35","F7",0.15438,34.39875,"Malanga","LR2016","F75","NPK",6.75,27,29,8.429,5.95557230671495,5.07733333333333
"36","F8",0.13042,34.43162,"Malanga","LR2016","F81","Control",6.75,42,27,1.882,1.16588044252044,1.70481481481481
"37","F8",0.13042,34.43162,"Malanga","LR2016","F82","PK",6.75,42,27,2.162,1.53270806901857,2.64340740740741
"38","F8",0.13042,34.43162,"Malanga","LR2016","F83","NK",6.75,29,30,5.247,3.63051104166667,3.84837037037037
"39","F8",0.13042,34.43162,"Malanga","LR2016","F84","NP",6.75,39,33,4.435,3.21107718355718,4.37266666666667
"40","F8",0.13042,34.43162,"Malanga","LR2016","F85","NPK",6.75,45,36,4.572,3.19308142101285,5.12533333333333
"41","F9",0.08994,34.42113,"Lundha","LR2016","F91","Control",6.75,26,19,1.679,1.19687555555556,1.35844444444444
"42","F9",0.08994,34.42113,"Lundha","LR2016","F92","PK",6.75,19,18,2.775,2.20315283446712,1.79140740740741
"43","F9",0.08994,34.42113,"Lundha","LR2016","F93","NK",6.75,21,20,4.114,2.63762588693957,2.54814814814815
"44","F9",0.08994,34.42113,"Lundha","LR2016","F94","NP",6.75,26,24,4.874,3.45771918076072,3.69422222222222
"45","F9",0.08994,34.42113,"Lundha","LR2016","F95","NPK",6.75,30,23,4.139,2.88599025328157,3.76666666666667
"46","F10",0.13382,34.39513,"Nyabeda","LR2016","F101","Control",6.75,31,21,1.434,0.96298380587484,1.02518518518519
"47","F10",0.13382,34.39513,"Nyabeda","LR2016","F102","PK",6.75,19,20,2.706,1.94444688453159,1.23844444444444
"48","F10",0.13382,34.39513,"Nyabeda","LR2016","F103","NK",6.75,27,22,2.184,1.28651785867238,1.66111111111111
"49","F10",0.13382,34.39513,"Nyabeda","LR2016","F104","NP",6.75,32,36,5.138,3.72099368421053,6.27733333333333
"50","F10",0.13382,34.39513,"Nyabeda","LR2016","F105","NPK",6.75,31,31,7.474,5.55738449359721,4.39111111111111
"51","F11",0.13868,34.3803,"Ndere","LR2016","F111","Control",6.75,34,34,2.23,1.76022969842908,2.86074074074074
"52","F11",0.13868,34.3803,"Ndere","LR2016","F112","PK",6.75,18,15,0.604,0.451721693121693,1.16962962962963
"53","F11",0.13868,34.3803,"Ndere","LR2016","F113","NK",6.75,30,19,0.272,0.0907567407407407,0.714074074074074
"54","F11",0.13868,34.3803,"Ndere","LR2016","F114","NP",6.75,29,16,0.898,0.655813023770039,1.01377777777778
"55","F11",0.13868,34.3803,"Ndere","LR2016","F115","NPK",6.75,9,7,0.317,0.190128174291939,0.551185185185185
"56","F12",0.14723,34.38895,"Malanga","LR2016","F121","Control",6.75,24,22,2.432,1.7971203800193,1.15214814814815
"57","F12",0.14723,34.38895,"Malanga","LR2016","F122","PK",6.75,28,19,2.048,1.54819211800545,1.35711111111111
"58","F12",0.14723,34.38895,"Malanga","LR2016","F123","NK",6.75,30,13,1.931,1.34756743596609,1.94148148148148
"59","F12",0.14723,34.38895,"Malanga","LR2016","F124","NP",6.75,36,28,2.958,2.46561173152848,3.04296296296296
"60","F12",0.14723,34.38895,"Malanga","LR2016","F125","NPK",6.75,31,25,3.488,3.17052333986379,3.81288888888889
"61","F13",0.12386,34.44977,"Ndere","LR2016","F131","Control",6.75,38,34,3.053,2.27069808525507,2.25888888888889
"62","F13",0.12386,34.44977,"Ndere","LR2016","F132","PK",6.75,34,32,2.571,1.48556474964235,1.66962962962963
"63","F13",0.12386,34.44977,"Ndere","LR2016","F133","NK",6.75,27,22,2.277,1.22774978723404,1.41925925925926
"64","F13",0.12386,34.44977,"Ndere","LR2016","F134","NP",6.75,27,20,1.474,0.991786840958605,1.54911111111111
"65","F13",0.12386,34.44977,"Ndere","LR2016","F135","NPK",6.75,20,20,3.863,2.40086829541271,2.15851851851852
