"","Season","Farm.CODE","PLOT.CODE","TREATMENT","NEW.TREATMENT","PLANT.COUNT","NO..OF.COBS","yield.t.ha","stov.t.ha","Comments"
"66","LR2018","F5","F5P2/SS2","PK","NK",0,0,NA,NA,"very poor no plants"
"67","LR2018","F5","F5P2/SS3","PK","NP",21,13,1.4179891107078,1.25416296296296,"poor performance"
"68","LR2018","F5","F5P2/SS4","PK","NPK",18,15,1.9278916490147,1.824,"poor performance"
"69","LR2018","F5","F5P3/SS1","NK","PK",20,14,0.488808207268301,0.924444444444444,"poor performance"
"70","LR2018","F5","F5P3/SS2","NK","NK",11,3,0.161185185185185,0.392888888888889,"poor performance"
"71","LR2018","F5","F5P3/SS3","NK","NP",23,16,1.3312793271359,1.57918888888889,"poor performance"
"72","LR2018","F5","F5P3/SS4","NK","NPK",24,15,2.2932625994695,2.33975555555556,"poor performance"
"73","LR2018","F5","F5P4/SS1","NP","PK",33,27,3.05395965811966,3.62548148148148,"poor performance"
"74","LR2018","F5","F5P4/SS2","NP","NK",15,17,1.62834396135266,1.23088888888889,"poor performance"
"75","LR2018","F5","F5P4/SS3","NP","NP",16,10,0.62810273875408,0.965925925925926,"poor performance"
"76","LR2018","F5","F5P4/SS4","NP","NPK",27,22,3.54106268656716,4.51851851851852,"poor performance"
"77","LR2018","F5","F5P5/SS1","NPK","PK",26,22,2.47546181475593,2.34666666666667,"poor performance"
"78","LR2018","F5","F5P5/SS2","NPK","NK",0,0,NA,NA,"poor performance"
"79","LR2018","F5","F5P5/SS3","NPK","NP",0,0,NA,NA,"poor performance"
"80","LR2018","F5","F5P5/SS4","NPK","NPK",22,12,1.81539657930356,2.19777777777778,"poor performance"
"81","LR2018","F20","F20P1/SS1","Control","PK",16,13,0.911949685534591,1.01392592592593,""
"82","LR2018","F20","F20P1/SS2","Control","NK",0,0,NA,NA,"poor performance"
"83","LR2018","F20","F20P1/SS3","Control","NP",0,0,NA,NA,"poor performance"
"84","LR2018","F20","F20P1/SS4","Control","NPK",31,30,3.29183404864092,4.4637037037037,"Good performance but termite damage"
"85","LR2018","F20","F20P2/SS1","PK","PK",28,22,3.32052457126387,2.83759259259259,"good perfomance"
"86","LR2018","F20","F20P2/SS2","PK","NK",34,27,3.17508975642309,3.4242962962963,""
"87","LR2018","F20","F20P2/SS3","PK","NP",30,21,1.82605225653207,2.73492592592593,"termite damage"
"88","LR2018","F20","F20P2/SS4","PK","NPK",40,36,4.34084136967156,3.53888888888889,""
"89","LR2018","F20","F20P3/SS1","NK","PK",19,16,1.53636702508961,1.62066666666667,""
"90","LR2018","F20","F20P3/SS2","NK","NK",15,5,0.244258765432099,0.760888888888889,""
"91","LR2018","F20","F20P3/SS3","NK","NP",33,24,2.30347422468679,2.22207407407407,"termite damage"
"92","LR2018","F20","F20P3/SS4","NK","NPK",32,26,3.40505898491084,3.28066666666667,""
"93","LR2018","F20","F20P4/SS1","NP","PK",15,12,0.770012308380889,1.152,""
"94","LR2018","F20","F20P4/SS2","NP","NK",26,20,1.46980462341536,1.40444444444444,""
"95","LR2018","F20","F20P4/SS3","NP","NP",0,0,NA,NA,""
"96","LR2018","F20","F20P4/SS4","NP","NPK",24,19,0.9622176778005,1.29422222222222,"termite damage"
"97","LR2018","F20","F20P5/SS1","NPK","PK",20,16,2.65708431836091,2.05911111111111,"termite damage"
"98","LR2018","F20","F20P5/SS2","NPK","NK",25,16,1.69904761904762,1.70603703703704,"termite damage"
"99","LR2018","F20","F20P5/SS3","NPK","NP",11,6,0.419423868312757,0.712555555555556,"termite damage"
"100","LR2018","F20","F20P5/SS4","NPK","NPK",25,20,2.59248473831705,2.92096296296296,"termite damage"
