"","FARMCODE","TRT","TRIALTYPE","SEASON_NR","PK_Y_FM","NPK_Y_FM","PK_NS","NPK_NS","Nrec"
"345","F21","NK","NOT-SUBPLOTS",11,0.679074770066667,2.02184267872223,12.7875547025994,30.0228054297306,0.114901671514208
"146","F1","NK","RESTORATION",8,4.28297695101114,4.31183000000003,54.1167081537975,58.3642326732677,0.0283168301298017
"246","F1","NK","RESTORATION",9,4.85097201267781,4.98661000000004,60.6304129894244,66.7154702970302,0.0405670487173716
"346","F1","NK","RESTORATION",10,5.41896707434448,5.66139000000005,67.1441178250514,75.0667079207926,0.0528172673049415
"428","F1","NK","RESTORATION",11,5.98696213601116,6.33617000000005,73.6578226606784,83.4179455445551,0.0650674858925115
"147","F2","NK","RESTORATION",8,4.01436695101112,4.04322000000002,51.0363182455404,55.0398514851487,0.0266902215973887
"247","F2","NK","RESTORATION",9,4.5823620126778,4.71800000000002,57.5500230811674,63.3910891089112,0.0389404401849586
"347","F2","NK","RESTORATION",10,5.15035707434447,5.39278000000003,64.0637279167944,71.7423267326736,0.0511906587725286
"429","F2","NK","RESTORATION",11,5.71835213601114,6.06756000000004,70.5774327524214,80.0935643564361,0.0634408773600984
"148","F4","NK","RESTORATION",8,4.28947695101112,4.31833000000001,54.1912494382009,58.444678217822,0.0283561918641402
"248","F4","NK","RESTORATION",9,4.85747201267779,4.99311000000002,60.7049542738279,66.7959158415844,0.04060641045171
"348","F4","NK","RESTORATION",10,5.42546707434447,5.66789000000003,67.2186591094549,75.1471534653469,0.05285662903928
"430","F4","NK","RESTORATION",11,5.99346213601114,6.34267000000004,73.7323639450819,83.4983910891094,0.0651068476268498
"149","F6","NK","RESTORATION",8,2.67770028434446,2.70655333333335,35.7075720681704,38.4969471947197,0.0185958341769953
"249","F6","NK","RESTORATION",9,3.24569534601113,3.38133333333336,42.2212769037974,46.8481848184821,0.0308460527645652
"349","F6","NK","RESTORATION",10,3.8136904076778,4.05611333333336,48.7349817394243,55.1994224422446,0.0430962713521351
"431","F6","NK","RESTORATION",11,4.38168546934448,4.73089333333337,55.2486865750513,63.5506600660071,0.055346489939705
"150","F7","NK","RESTORATION",8,5.45147695101112,5.48033000000001,67.5169375115954,72.8258663366339,0.0353928588335895
"250","F7","NK","RESTORATION",9,6.0194720126778,6.15511000000002,74.0306423472224,81.1771039603963,0.0476430774211592
"350","F7","NK","RESTORATION",10,6.58746707434447,6.82989000000003,80.5443471828494,89.5283415841588,0.0598932960087293
"432","F7","NK","RESTORATION",11,7.15546213601114,7.50467000000004,87.0580520184764,97.8795792079213,0.0721435145962991
"151","F8","NK","RESTORATION",8,3.44636695101112,3.47522000000002,44.5225567776505,48.0101485148517,0.0232506115813413
"251","F8","NK","RESTORATION",9,4.0143620126778,4.15000000000002,51.0362616132775,56.3613861386142,0.0355008301689111
"351","F8","NK","RESTORATION",10,4.58235707434447,4.82478000000003,57.5499664489045,64.7126237623766,0.047751048756481
"433","F8","NK","RESTORATION",11,5.15035213601114,5.49956000000004,64.0636712845315,73.0638613861391,0.060001267344051
"152","F10","NK","RESTORATION",8,3.69247695101112,3.72133000000002,47.3449191629716,51.0560643564358,0.0247409679564283
"252","F10","NK","RESTORATION",9,4.2604720126778,4.39611000000002,53.8586239985986,59.4073019801983,0.0369911865439982
"352","F10","NK","RESTORATION",10,4.82846707434447,5.07089000000003,60.3723288342256,67.7585396039608,0.0492414051315681
"434","F10","NK","RESTORATION",11,5.39646213601114,5.74567000000004,66.8860336698525,76.1097772277232,0.061491623719138
"153","F12","NK","RESTORATION",8,3.10147695101112,3.13033000000001,40.5673962271918,43.7417079207922,0.0211620779573366
"253","F12","NK","RESTORATION",9,3.66947201267779,3.80511000000002,47.0811010628187,52.0929455445547,0.0334122965449065
"353","F12","NK","RESTORATION",10,4.23746707434447,4.47989000000003,53.5948058984457,60.4441831683172,0.0456625151324765
"435","F12","NK","RESTORATION",11,4.80546213601114,5.15467000000004,60.1085107340727,68.7954207920797,0.0579127337200463
"154","F13","NK","RESTORATION",8,4.78503361767779,4.81388666666668,59.874238734837,64.5778052805282,0.031357110304608
"254","F13","NK","RESTORATION",9,5.35302867934446,5.48866666666669,66.387943570464,72.9290429042907,0.0436073288921779
"354","F13","NK","RESTORATION",10,5.92102374101113,6.1634466666667,72.901648406091,81.2802805280532,0.0558575474797479
"436","F13","NK","RESTORATION",11,6.48901880267781,6.8382266666667,79.415353241718,89.6315181518156,0.0681077660673177
"155","F14","NK","RESTORATION",8,3.98997695101112,4.01883000000001,50.756616410678,54.7379950495051,0.0265425242588475
"255","F14","NK","RESTORATION",9,4.55797201267779,4.69361000000002,57.270321246305,63.0892326732676,0.0387927428464173
"355","F14","NK","RESTORATION",10,5.12596707434446,5.36839000000003,63.7840260819319,71.44047029703,0.0510429614339873
"437","F14","NK","RESTORATION",11,5.69396213601114,6.04317000000003,70.2977309175589,79.7917079207925,0.0632931800215572
"156","F16","NK","RESTORATION",8,3.26103361767779,3.28988666666668,42.3971745146536,45.7164191419144,0.0221282975150722
"256","F16","NK","RESTORATION",9,3.82902867934446,3.96466666666669,48.9108793502806,54.0676567656769,0.0343785161026421
"356","F16","NK","RESTORATION",10,4.39702374101114,4.6394466666667,55.4245841859075,62.4188943894393,0.0466287346902121
"438","F16","NK","RESTORATION",11,4.96501880267781,5.31422666666671,61.9382890215345,70.7701320132018,0.058878953277782
"157","F18","NK","RESTORATION",8,2.64747695101112,2.67633000000001,35.3609742088431,38.1228960396041,0.0184128122050734
