"","FARMCODE","SEASON_NR","Control_Y_FM","PK_Y_FM","NPK_Y_FM","Control_NS","PK_NS","NPK_NS","Nrec"
"812","F13",7,1.87955924293493,1.76113354037267,4.72790372670807,29.2211242646253,25.1964855547325,63.5136599840107,0.255447829528522
"912","F13",8,1.67417422867514,1.60770186335404,4.66291925465838,26.5744101633394,23.4369479742436,62.709396716069,0.261816324945503
"113","F14",0,3.19987339037249,4.15229813664596,6.95422360248446,46.235481834697,52.6180978973161,91.0671237931246,0.25632683930539
"213","F14",1,2.9944883761127,3.99886645962733,6.88923913043477,43.5887677334111,50.8585603168272,90.2628605251828,0.262695334722371
"313","F14",2,2.78910336185291,3.8454347826087,6.82425465838508,40.9420536321252,49.0990227363383,89.4585972572412,0.269063830139353
"413","F14",3,2.58371834759312,3.69200310559006,6.7592701863354,38.2953395308392,47.3394851558494,88.6543339892995,0.275432325556334
"513","F14",4,2.37833333333334,3.53857142857143,6.69428571428571,35.6486254295533,45.5799475753604,87.8500707213578,0.281800820973316
"613","F14",5,2.17294831907355,3.3851397515528,6.62930124223602,33.0019113282674,43.8204099948715,87.0458074534161,0.288169316390297
"713","F14",6,1.96756330481376,3.23170807453416,6.56431677018633,30.3551972269815,42.0608724143826,86.2415441854744,0.294537811807278
"813","F14",7,1.76217829055397,3.07827639751553,6.49933229813664,27.7084831256956,40.3013348338937,85.4372809175327,0.30090630722426
"913","F14",8,1.55679327629419,2.9248447204969,6.43434782608695,25.0617690244096,38.5417972534048,84.633017649591,0.307274802641241
"114","F15",0,4.79897588799585,5.37658385093168,6.81279503105589,66.8424727834517,66.6580716849963,89.3167701863353,0.151057990008927
"214","F15",1,4.59359087373606,5.22315217391304,6.7478105590062,64.1957586821657,64.8985341045074,88.5125069183936,0.157426485425908
"314","F15",2,4.38820585947627,5.06972049689441,6.68282608695651,61.5490445808798,63.1389965240185,87.7082436504519,0.163794980842889
"414","F15",3,4.18282084521649,4.91628881987578,6.61784161490682,58.9023304795939,61.3794589435295,86.9039803825102,0.170163476259871
"514","F15",4,3.9774358309567,4.76285714285714,6.55285714285713,56.255616378308,59.6199213630406,86.0997171145685,0.176531971676853
"614","F15",5,3.77205081669691,4.60942546583851,6.48787267080745,53.6089022770221,57.8603837825517,85.2954538466268,0.182900467093834
"714","F15",6,3.56666580243712,4.45599378881988,6.42288819875776,50.9621881757361,56.1008462020628,84.4911905786851,0.189268962510815
"814","F15",7,3.36128078817734,4.30256211180124,6.35790372670807,48.3154740744502,54.3413086215739,83.6869273107434,0.195637457927797
"914","F15",8,3.15589577391755,4.14913043478261,6.29291925465838,45.6687599731643,52.581771041085,82.8826640428017,0.202005953344778
"115","F16",0,2.81011148561058,2.90801242236025,5.80850931677017,41.212776876425,38.3487663114707,76.8874915441853,0.256924834884764
"215","F16",1,2.60472647135079,2.75458074534161,5.74352484472049,38.566062775139,36.5892287309818,76.0832282762436,0.263293330301746
"315","F16",2,2.399341457091,2.60114906832298,5.6785403726708,35.9193486738531,34.8296911504929,75.2789650083019,0.269661825718727
