"","Year","Crop","Control","FYM","FYMN","FYMNK","FYMNP","FYMNPK","FYMNPKMg","FYMPK","N","NK","NP","NPK","NPKMg","PK","pred_K_UP_NPK","pred_K_UP_PK","pred_K_UP_NK","pred_K_UP_Control","pred_K_UP_N","pred_K_UP_NP","pred_K_UP_NPKMg","pred_K_UP_FYMNPK","pred_K_UP_FYM","pred_K_UP_FYMPK","pred_K_UP_FYMNK","pred_K_UP_FYMNP","pred_K_UP_FYMNPKMg"
"32",1992,"rye",24.1525887533223,34.896212920847,67.6741130687589,79.0364178942756,74.0642770290374,81.8576034180849,82.6201919799897,40.418811912847,46.3362813267587,70.2507776566565,52.8083302490375,73.0794927857041,76.3928488437994,30.7044889918946,77.817743842714,35.6529890669916,72.7787901217759,35.5671543903242,48.3085271579956,48.9829324879275,77.817743842714,92.5412914909656,35.652993183061,35.6530130367588,93.3340928161705,72.0930719622537,92.5412914909656
"33",1993,"oats",20.032705727657,32.2935074548905,59.8122739025374,83.2242244731245,70.5143008701841,90.2541065043019,88.536521970184,38.0474374901842,31.4385951956909,64.101033431949,40.0357652760666,67.4227709837137,73.3170405754784,27.4077139831255,76.4026849869168,38.0186168496084,69.1343736323302,36.974470507669,45.9157036914028,47.0575017712967,76.4026849869168,92.1352046249548,38.0186364408029,38.0187309967071,93.0732472038527,68.0349599780487,92.1352046249548
"34",1994,"potato",31.2624224007923,90.1242156407912,107.23700566158,142.399113876605,122.254032256058,140.972750420269,140.151655160793,96.9120350250032,33.9527810749129,103.186733120793,49.0618004171091,97.7994172597408,108.397812939741,47.0069610281618,120.95370407267,67.7004894323398,103.708976656289,61.1616784065675,69.0873845518818,70.3004399677963,120.95370407267,169.344849237764,127.6864155808,168.941784188119,152.464601359419,119.754440197593,169.344849237764
"35",1995,"rye",22.9754622431218,33.7190864106465,66.4969865585584,77.8592913840751,72.8871505188369,80.6804769078844,81.4430654697892,39.2416854026464,45.1591548165582,69.073651146456,51.631203738837,71.9023662755035,75.2157223335989,29.5273624816941,78.6331964297679,35.881404080833,72.6939011906552,35.6969960452339,47.4327090517151,48.2351484445547,78.6331964297679,94.0038485527969,35.8814062558311,35.8814045224966,94.8961324022732,72.0241093797138,94.0038485527969
"36",1996,"oats",17.9274462783521,30.1882480055857,57.7070144532325,81.1189650238197,68.4090414208792,88.148847054997,86.4312625208791,35.9421780408793,29.333335746386,61.9957739826442,37.9305058267617,65.3175115344088,71.2117811261736,25.3024545338206,77.1551522506569,38.1716013283755,69.0606390083305,36.8827368927575,45.0862334346792,46.3113750547063,77.1551522506569,93.4489749782903,38.1715812399392,38.1715917074723,94.4849918698025,67.8309539939646,93.4489749782903
"37",1997,"potato",27.2437302874418,86.1055235274408,103.218313548229,138.380421763255,118.235340142707,136.954058306918,136.132963047443,92.8933429116528,29.9340889615625,99.1680410074429,45.0431083037587,93.7807251463904,104.37912082639,42.9882689148114,121.120872150828,66.7891562757244,103.405021192058,60.2323206741644,67.8065135005337,68.8633143215925,121.120872150828,170.662075190408,128.560029255724,173.786349539479,153.287312772828,118.834111344271,170.662075190408
"38",1998,"rye",21.798335732921,32.5419599004457,65.3198600483576,76.6821648738743,71.7100240086361,79.5033503976836,80.2659389595884,38.0645588924457,43.9820283063574,67.8965246362552,50.4540772286362,70.7252397653028,74.0385958233981,28.3502359714933,79.4303420242183,36.1098264026926,72.5974148516164,35.7920724353897,46.5696681483081,47.4744295037929,79.4303420242183,95.4272758468235,36.1098222665487,36.1098240154663,96.4218009513278,71.9295878295778,95.4272758468235
"39",1999,"oats",15.8221868290473,28.0829885562808,55.6017550039277,79.0137055745148,66.3037819715743,86.0435876056921,84.3260030715743,33.8369185915745,27.2280762970812,59.8905145333393,35.8252463774569,63.212252085104,69.1065216768687,23.1971950845158,77.8851112863204,38.3245723847419,68.975810127342,36.769632669294,44.2686717972022,45.5558035649377,77.8851112863204,94.7253349747989,38.3245575717058,38.324586161365,95.8614281143379,67.6085671907937,94.7253349747989
"40",2000,"potato",23.2250381740914,82.0868314140904,99.1996214348788,134.361729649904,114.216648029357,132.935366193568,132.114270934092,88.8746507983024,25.9153968482121,95.1493488940925,41.0244161904083,89.76203303304,100.36042871304,38.969576801461,121.273223253543,65.8777532859138,103.075444627892,59.3085439764126,66.5430042687056,67.4519390028771,121.273223253543,171.939243079088,129.24892681412,178.347562511655,154.066552625041,117.918346742854,171.939243079088
"41",2001,"rye",20.6212092227205,31.3648333902452,64.1427335381571,75.5050383636738,70.5328974984356,78.3262238874831,79.0888124493879,36.8874323822451,42.8049017961569,66.7193981260547,49.2769507184357,69.5481132551022,72.8614693131976,27.1731094612928,80.2038529644685,36.3382409103518,72.4872696171603,35.8539541572614,45.7188869333899,46.7032289921635,80.2038529644685,96.8109734896098,36.3382534069898,36.3382550157828,97.9111767414563,71.8089655551524,96.8109734896098
"42",2002,"oats",13.7169273797422,25.9777291069757,53.4964955546226,76.9084461252097,64.1985225222692,83.938328156387,82.2207436222692,31.7316591422694,25.1228168477761,57.7852550840342,33.7199869281518,61.1069926357989,67.0012622275636,21.0919356352107,78.590619883664,38.4775873446701,68.8783136625237,36.6357579746408,43.4627999203532,44.7930877019977,78.590619883664,95.9636295875903,38.4775315121458,38.4776656957483,97.2023652801909,67.3671755820203,95.9636295875903
"43",2003,"potato",19.2063460607408,78.0681393007397,95.1809293215282,130.343037536553,110.197955916006,128.916674080217,128.095578820742,84.8559586849517,21.8967047348614,91.1306567807418,37.0057240770576,85.7433409196893,96.3417365996893,34.9508846881103,121.415968762574,64.9664503375292,102.717657545736,58.3900185457145,65.2964565648811,66.0657687654154,121.415968762574,173.175544196464,129.780882528886,182.661997545658,154.80502789337,117.003518206613,173.175544196464
"44",2004,"rye",19.44408271252,30.1877068800447,62.9656070279565,74.3279118534732,69.3557709882351,77.1490973772825,77.9116859391874,35.7103058720446,41.6277752859563,65.5422716158542,48.0998242082351,68.3709867449017,71.6843428029971,25.9959829510922,80.9527289823251,36.5666613167862,72.3623768356272,35.8841480074484,44.8802232554389,45.9238771620814,80.9527289823251,98.1560159733821,36.5666588304415,36.5666602944311,99.3649117473937,71.6631689219798,98.1560159733821
"45",2005,"oats",11.6116679304373,23.8724696576708,51.3912361053177,74.8031866759048,62.0932630729644,81.8330687070822,80.1154841729643,29.6263996929645,23.0175573984712,55.6799956347294,31.6147274788469,59.001733186494,64.8960027782587,18.9866761859058,79.2709348927669,38.6305061530657,68.7671431415897,36.4822180105709,42.6685134377684,44.0254666715007,79.2709348927669,97.1642296742305,38.6305132332222,38.6305064181751,98.5040105140821,67.107368728553,97.1642296742305
"46",2006,"potato",15.1876539473903,74.0494471873893,91.1622372081777,126.324345423203,106.179263802656,124.897981966867,124.076886707391,80.8372665716013,17.878012621511,87.1119646673914,32.9870319637072,81.7246488063389,92.3230444863389,30.9321925747599,121.547272293267,64.0550856831398,102.330013140648,57.4766552961981,64.0672152454276,64.7043961205225,121.547272293267,174.37228853252,130.161592185511,186.759266344106,155.505952010136,116.088585900073,174.37228853252
"47",2007,"rye",18.2669562023193,29.010580369844,61.7884805177559,73.1507853432726,68.1786444780344,75.9719708670819,76.7345594289867,34.533179361844,40.4506487757557,64.3651451056535,46.9226976980345,67.193860234701,70.5072162927964,24.8188564408916,81.6777234600733,36.7950798697517,72.2219534172734,35.8841475989204,44.0536891444602,45.1386531537923,81.6777234600733,99.4629570716068,36.7950802654259,36.7950766826952,100.783427105634,71.4936839475025,99.4629570716068
"48",2008,"oats",9.50640848113244,21.767210208366,49.2859766560128,72.6979272266,59.9880036236595,79.7278092577773,78.0102247236594,27.5211402436596,20.9122979491664,53.5747361854245,29.509468029542,56.8964737371891,62.7907433289539,16.8814167366009,79.9270633913388,38.7833978275527,68.6416914317666,36.309831456557,41.8857277605098,43.2548134708184,79.9270633913388,98.3271013609334,38.7833804426027,38.7834805809606,99.0943819416972,66.8301677916883,98.3271013609334
