"","Year","Crop","Control","FYM","FYMNPK","N","N1PKMg","N2PKMg","N4PKMg","N5PKMg","NP","NPK","PKMg","pred_P_UP_N1PKMg","pred_P_UP_N2PKMg","pred_P_UP_N4PKMg","pred_P_UP_N5PKMg","pred_P_UP_PKMg","pred_P_UP_Control","pred_P_UP_N","pred_P_UP_NP","pred_P_UP_NPK","pred_P_UP_FYMNPK","pred_P_UP_FYM"
"35",2006,"wheat",4.21636452515756,21.0464608780838,31.3520800293284,11.7093421530978,11.2229581804317,16.6563804601652,21.344378967412,24.638618017253,16.7226202854696,21.6363644495256,4.76209756643994,12.4337343979425,16.316928025326,22.9890361628968,18.6294834432865,4.31672201573118,4.31672133660626,7.06525621312167,10.3024919176823,22.9890361628968,19.6320628390931,21.0804906227945
"36",2007,"wheat",5.17853774795703,21.882260604604,28.5755187991026,12.9698107508322,12.1048303980497,17.3832517136615,22.3449695223317,24.5951970312378,16.8061464052814,22.5858080562323,6.06301275679701,14.2023193991855,16.4826332678294,22.7451569070995,18.003411836522,6.48139938049951,6.05586690823014,6.83412607590772,10.1458702335562,22.7451569070995,19.1380827950542,22.3552901535896
"37",2008,"wheat",5.10483263820953,21.8085554948565,28.5018136893551,12.8961056410847,12.0311252883022,17.309546603914,22.2712644125842,24.5214919214903,16.7324412955339,22.5121029464848,5.98930764704951,14.0715378599959,16.2088217742505,22.489502070556,17.6317763023409,6.48982187002035,5.9922979395847,6.71475667990821,10.0187488106838,22.489502070556,18.7636633870931,20.1018498066773
"38",2009,"oats",5.10714722339182,21.3252285806839,17.6620347711332,9.08068299940347,7.11002217020337,8.17564064011356,10.4241301860177,15.5480037865904,13.1395795219156,10.4489484168746,6.64804562228726,9.9371336424273,10.1559767422648,12.8011899957187,10.8416134339829,9.16199206502182,5.2261402885573,4.6545935536831,9.85906597133542,12.8011899957187,11.2824572447422,20.0767493883663
"39",2010,"silage maize",0.711617154659592,7.29334807383795,6.33025662516247,1.45478636193485,3.00863575168111,4.30301742417916,6.43798908436397,4.77188810532167,3.87381606059774,5.84758630167861,1.62632218943989,4.65085036558503,4.83272627625155,6.62332607941457,4.83645934621251,2.5347311288086,1.87482034583615,1.8733972141157,4.64339521251217,6.62332607941457,5.3056892305491,8.10691916435763
"40",2011,"wheat",4.88371730896701,21.587440165614,28.2806983601126,12.6749903118422,11.8100099590597,17.0884312746715,22.0501490833416,24.3003765922478,16.5113259662913,22.2909876172423,5.76819231780698,14.0675927765833,16.4972790911272,23.5294852782569,18.2222496653804,6.51516306985307,6.0376643846069,6.90398108043482,10.015118320715,23.5294852782569,19.3137472613763,20.0660515775561
"41",2012,"wheat",4.8100121992195,21.5137350558665,28.2069932503651,12.6012852020947,11.7363048493122,17.014726164924,21.9764439735941,24.2266714825003,16.4376208565438,22.2172825074947,5.69448720805948,13.9159802171268,16.0717587087168,22.9496727210542,17.5405782544956,6.52360610509635,5.96902302243986,6.67847492883217,9.85984653562336,22.9496727210542,18.6506631880363,23.8628981682041
"42",2013,"wheat",4.736307089472,21.440029946119,28.1332881406176,12.5275800923472,11.6625997395647,16.9410210551765,21.9027388638466,24.1529663727528,16.3639157467963,22.1435773977472,5.62078209831197,13.8188393508107,15.8479707355,22.7298770434041,17.2113592779683,6.53205215946968,5.93228273451495,6.56177286586502,9.73418799161895,22.7298770434041,18.3234479172285,25.2720824336566
"43",2014,"oats",4.99793049034839,21.2160118476404,17.5528180380898,8.97146626636004,7.00080543715995,8.06642390707014,10.3149134529743,15.438787053547,13.0303627888722,10.3397316838312,6.53882888924383,9.77419772632551,10.0684310286719,13.1897039643653,10.7916882604766,8.76847185471481,5.08828837246465,4.55091449377328,9.5675836704824,13.1897039643653,11.2639271228917,21.4596709711249
"44",2015,"silage maize",-0.0499865807327637,6.53174433844559,5.56865288977012,0.693182626542497,2.24703201628876,3.54141368878681,5.67638534897162,4.01028436992931,3.11221232520538,5.08598256628625,0.864718454047531,3.7939454781404,4.52202498349451,6.60614892116746,4.72827500688686,0.662154737526511,0.662157058276608,1.83183206325289,4.53495090356468,6.60614892116746,5.13664625539738,8.19415168622147
