"","Year","Crop","Control","FYM","FYMN","FYMNK","FYMNP","FYMNPK","FYMNPKMg","FYMPK","N","NK","NP","NPK","NPKMg","PK","pred_N_UP_NPK","pred_N_UP_PK","pred_N_UP_NK","pred_N_UP_Control","pred_N_UP_N","pred_N_UP_NP","pred_N_UP_NPKMg","pred_N_UP_FYMNPK","pred_N_UP_FYM","pred_N_UP_FYMPK","pred_N_UP_FYMNK","pred_N_UP_FYMNP","pred_N_UP_FYMNPKMg"
"22",1982,"potato",30.2993481680612,58.9216073091137,100.550248907374,107.160587549646,102.743554313324,104.920846497009,101.836737182272,59.2449217854304,56.1233497423742,78.4777486496406,61.957200957009,75.7697962212196,84.1587815012196,32.7383351812196,79.0953138659054,32.7383496402198,75.2275377239171,32.7383452796758,75.2289162718299,76.724499055398,79.0953138659054,111.881236305319,63.9973060193828,64.3403626986946,107.315780774892,111.782368580787,111.881236305319
"23",1983,"rye",31.1282038449096,46.1094241225288,95.1306924120583,94.991385370624,101.402456005386,98.1736351611,97.782531193481,49.2201971101479,80.7212401750581,88.4877537477669,85.6082232415764,91.118655190624,93.3908841834812,37.967731615386,93.6540677391228,37.9677241830794,90.9312632000692,37.9676862537544,90.9326616089352,92.8472058440145,93.6540677391228,94.2710599190743,37.9677231405055,37.9677305212928,93.8863634286077,94.2672029660328,94.2710599190743
"24",1984,"oats",25.3304913378301,34.2614714919472,75.7497016254768,79.6429066495939,81.1591698825352,81.6507099137116,79.9919556778294,36.8467513519472,58.319818547069,67.7164886631236,61.6099220001824,68.2476502684177,71.1491961690059,28.7064490513589,67.8056514766859,28.7064497041393,65.7366558672526,28.7064539292312,65.7375678006058,67.4996686597289,67.8056514766859,68.5489680976047,28.7064538324898,28.706453840745,67.9419923344371,68.5102042916296,68.5489680976047
"25",1985,"potato",29.9348136362735,58.5570727773259,100.185714375587,106.796053017858,102.379019781537,104.556311965221,101.472202650484,58.8803872536427,55.7588152105865,78.1132141178528,61.5926664252213,75.4052616894318,83.7942469694319,32.3738006494319,78.8657366887506,32.3738218595531,74.8212357954241,32.3738046399162,74.823554381879,76.1330432532323,78.8657366887506,115.539238313497,67.6023091499453,68.1174858296616,110.416932373135,115.111193285613,115.539238313497
"26",1986,"rye",31.3566219608109,46.3378422384301,95.3591105279596,95.2198034865254,101.630874121287,98.4020532770014,98.0109493093824,49.4486152260492,80.9496582909594,88.7161718636682,85.8366413574778,91.3470733065253,93.6193022993825,38.1961497312873,95.9032310683206,38.1961239282696,92.7369687031047,38.1961490896186,92.7395024524516,94.8612037119684,95.9032310683206,96.6333506707056,38.1959968919201,38.1961147474961,96.1577887596666,96.6086276856743,96.6333506707056
"27",1987,"oats",25.4324753430825,34.3634554971995,75.8516856307291,79.7448906548463,81.2611538877875,81.752693918964,80.0939396830817,36.9487353571995,58.4218025523214,67.818472668376,61.7119060054348,68.34963427367,71.2511801742583,28.8084330566113,69.5587434936506,28.8084364811402,67.170329292173,28.8084345198439,67.1718617346679,69.1293292927196,69.5587434936506,70.4058313664559,28.808433486344,28.8084376096472,69.7030731645472,70.3271054376591,70.4058313664559
"28",1988,"potato",29.5702791044857,58.1925382455381,99.8211798437987,106.431518486071,102.014485249749,104.191777433433,101.107668118697,58.5158527218549,55.3942806787987,77.7486795860651,61.2281318934335,75.040727157644,83.4297124376441,32.0092661176441,78.6345638227462,32.0092694287957,74.4230279044094,32.0092711573562,74.4262853236348,75.5560943190203,78.6345638227462,119.173096194833,71.1648117473751,71.8749493137644,113.45401525203,118.223200415047,119.173096194833
"29",1989,"rye",31.5850400767122,46.5662603543314,95.5875286438609,95.4482216024267,101.859292237188,98.6304713929027,98.2393674252837,49.6770333419505,81.1780764068607,88.9445899795695,86.0650594733791,91.5754914224266,93.8477204152838,38.4245678471886,98.1460293522223,38.4244285818696,94.5013191708723,38.4245665056248,94.5049646112965,96.8375962078802,98.1460293522223,98.9955724280758,38.4244722409724,38.4245614012653,98.4167526144698,98.9324854149808,98.9955724280758
"30",1990,"oats",25.5344593483348,34.4654395024519,75.9536696359814,79.8468746600986,81.3631378930399,81.8546779242163,80.195923688334,37.0507193624519,58.5237865575737,67.9204566736283,61.8138900106871,68.4516182789224,71.3531641795106,28.9104170618636,71.3061285867178,28.9104185829942,68.5728098758224,28.9104179052636,68.5750483179255,70.7332646294277,71.3061285867178,72.2603613559853,28.9104254639291,28.9104200958863,71.4531123612145,72.1330931676664,72.2603613559853
"31",1991,"potato",29.2057445726979,57.8280037137503,99.4566453120109,106.066983954283,101.649950717961,103.827242901646,100.743133586909,58.1513181900671,55.0297461470109,77.3841450542773,60.8635973616457,74.6761926258562,83.0651779058563,31.6447315858563,78.3996645997902,31.6447321757799,74.0296420460955,31.6447531267827,74.0338151204008,74.9808648562241,78.3996645997902,122.781156954244,74.6842358821207,75.6128094700352,116.423751995833,121.238426520834,122.781156954244
"32",1992,"rye",31.8134581926136,46.7946784702328,95.8159467597623,95.676639718328,102.08771035309,98.858889508804,98.467785541185,49.9054514578519,81.4064945227621,89.1730080954709,86.2934775892804,91.803909538328,94.0761385311852,38.6529859630899,100.38192712126,38.652973313724,96.2220260951373,38.6529664803102,96.2269719568246,98.7711426247373,100.38192712126,101.357817327372,38.652956539508,38.6528756296983,100.66247265076,101.239540777007,101.357817327372
"33",1993,"oats",25.6364433535872,34.5674235077042,76.0556536412338,79.948858665351,81.4651218982922,81.9566619294687,80.2979076935864,37.1527033677042,58.6257705628261,68.0224406788807,61.9158740159395,68.5536022841747,71.455148184763,29.012401067116,73.0474176261573,29.0124022321656,69.9426595524923,29.0124019699529,69.9457257829236,72.3087985274658,73.0474176261573,74.112375943507,29.0124213417562,29.0124527211661,73.1916078071465,73.9277837245092,74.112375943507
"34",1994,"potato",28.8412100409101,57.4634691819626,99.0921107802232,105.702449422495,101.285416186173,103.462708369858,100.378599055121,57.7867836582793,54.6652116152231,77.0196105224895,60.499062829858,74.3116580940685,82.7006433740685,31.2801970540686,78.1598917252774,31.2801978191536,73.6392214877362,31.2802132411803,73.6443453460358,74.4039552053013,78.1598917252774,126.362236949312,78.1600296424612,79.3313196290864,119.324362679724,124.169824203971,126.362236949312
"35",1995,"rye",32.0418763085149,47.0230965861341,96.0443648756636,95.9050578342294,102.316128468991,99.0873076247053,98.6962036570864,50.1338695737532,81.6349126386634,89.4014262113722,86.5218957051817,92.0323276542293,94.3045566470865,38.8814040789913,102.610771864692,38.8814040712854,97.897348188738,38.881341484909,97.9040637704957,100.658948786067,102.610771864692,103.720245751082,38.8813947954637,38.8814021875974,102.8941519715,103.529911501476,103.720245751082
"36",1996,"oats",25.7384273588395,34.6694075129566,76.1576376464861,80.0508426706033,81.5671059035446,82.058645934721,80.3998916988387,37.2546873729566,58.7277545680784,68.124424684133,62.0178580211918,68.6555862894271,71.5571321900153,29.1143850723683,74.7824830932421,29.1143865653683,71.2787404217551,29.1143851674022,71.2827839353805,73.8542091415842,74.7824830932421,75.9616137147398,29.1143873145766,29.1143908996665,74.9181634968388,75.7108764168752,75.9616137147398
"37",1997,"potato",28.4766755091223,57.0989346501748,98.7275762484354,105.337914890707,100.920881654385,103.09817383807,100.014064523333,57.4222491264915,54.3006770834353,76.6550759907017,60.1345282980702,73.9471235622807,82.3361088422807,30.9156625222808,77.9148034905512,30.9156625302595,73.250770334231,30.9156664658183,73.2570261084903,73.8244505184369,77.9148034905512,129.916348696018,81.5920206990088,83.0306336400903,122.155097684786,127.016205166353,129.916348696018
"38",1998,"rye",32.2702944244162,47.2515147020354,96.272782991565,96.1334759501307,102.544546584892,99.3157257406067,98.9246217729877,50.3622876896545,81.8633307545648,89.6298443272736,86.7503138210831,92.2607457701307,94.5329747629878,39.1098221948926,104.83225593122,39.1098033982502,99.5261837283614,39.1098219587776,99.534557379101,102.498238105266,104.83225593122,106.082398452257,39.1098218748939,39.1098140622189,105.111398005638,105.803560808559,106.082398452257
"39",1999,"oats",25.8404113640919,34.7713915182089,76.2596216517385,80.1528266758557,81.6690899087969,82.1606299399733,80.5018757040911,37.3566713782089,58.8297385733308,68.2264086893854,62.1198420264442,68.7575702946794,71.6591161952677,29.2163690776207,76.5111814157561,29.2163699868064,72.5800980378304,29.2163721735692,72.5852938380941,75.3680213302747,76.5111814157561,77.8080790175522,29.2163716615721,29.2163829789111,76.6324396257972,77.4822020503284,77.8080790175522
"40",2000,"potato",28.1121409773345,56.734400118387,98.3630417166476,104.97338035892,100.556347122598,102.733639306282,99.6495299915454,57.0577145947037,53.9361425516475,76.2905414589139,59.7699937662824,73.5825890304929,81.9715743104929,30.551127990493,77.6642337317882,30.5511478287875,72.8637218762367,30.5511301051836,72.8709073339983,73.2421393285239,77.6642337317882,133.443640650565,84.9797968063931,86.7111989148829,124.915746719726,129.774664788956,133.443640650565
"41",2001,"rye",32.4987125403176,47.4799328179368,96.5012011074663,96.361894066032,102.772964700794,99.544143856508,99.153039888889,50.5907058055559,82.0917488704661,89.8582624431749,86.9787319369844,92.489163886032,94.7613928788892,39.3382403107939,107.046414364101,39.338237502855,101.107148276843,39.3382385588685,101.118083726385,104.288006724809,107.046414364101,108.443661781839,39.3381789715566,39.3381714366189,107.313881453502,108.060222537387,108.443661781839
"42",2002,"oats",25.9423953693442,34.8733755234612,76.3616056569908,80.254810681108,81.7710739140493,82.2626139452257,80.6038597093434,37.4586553834612,58.9317225785831,68.3283926946377,62.2218260316965,68.8595542999318,71.76110020052,29.318353082873,78.2335665378122,29.3183549747901,73.8458966869714,29.3183530842632,73.8529738685171,76.8487898082127,78.2335665378122,79.6517494477062,29.3183543844733,29.3184130467789,78.334277608197,79.2415530582249,79.6517494477062
"43",2003,"potato",27.7476064455467,56.3698655865992,97.9985071848598,104.608845827132,100.19181259081,102.369104774494,99.2849954597575,56.6931800629159,53.5716080198597,75.9260069271261,59.4054592344945,73.218054498705,81.6070397787051,30.1865934587051,77.4082457276393,30.1866044602863,72.4776385307319,30.1865995005231,72.4865724963794,72.6568986930489,77.4082457276393,136.944616150187,88.3234562944218,90.3732924432222,127.606507940507,132.442748842686,136.944616150187
"44",2004,"rye",32.7271306562189,47.7083509338381,96.7296192233676,96.5903121819333,103.001382816695,99.7725619724094,99.3814580047904,50.8191239214572,82.3201669863674,90.0866805590762,87.2071500528858,92.7175820019333,94.9898109947905,39.5666584266953,109.253263830617,39.5666442183893,102.639157645462,39.5666514152323,102.654037219788,106.024950284378,109.253263830617,110.80298615594,39.5666564417435,39.5666492444206,109.501063287288,110.300140458258,110.80298615594
"45",2005,"oats",26.0443793745966,34.9753595287136,76.4635896622432,80.3567946863603,81.8730579193016,82.364597950478,80.7058437145958,37.5606393887136,59.0337065838355,68.43037669989,62.3238100369488,68.9615383051841,71.8630842057723,29.4203370881253,79.9496375513469,29.4203370963468,75.0753560771967,29.4203372481685,75.0857728054618,78.2950438445055,79.9496375513469,81.4923756348452,29.420342616144,29.4203374449072,80.0239297742728,80.9886593311971,81.4923756348452
"46",2006,"potato",27.383071913759,56.0053310548114,97.6339726530721,104.244311295344,99.8272780590221,102.004570242707,98.9204609279698,56.3286455311281,53.2070734880719,75.5614723953383,59.0409247027068,72.8535199669173,81.2425052469173,29.8220589269174,77.1468950228401,29.8220814756137,72.0925536759298,29.8221280835434,72.083679132316,72.0688461938701,77.1468950228401,140.420324182207,91.622959590977,94.0172952565221,130.22774289105,135.01848406724,140.420324182207
"47",2007,"rye",32.9555487721202,47.9367690497394,96.9580373392689,96.8187302978347,103.229800932596,100.000980088311,99.6098761206917,51.0475420373585,82.5485851022687,90.3150986749775,87.4355681687871,92.9460001178346,95.2182291106918,39.7950765425966,111.452779882807,39.7950593534175,104.121162285626,39.7950183677998,104.14224460275,107.707205920567,111.452779882807,113.160430466675,39.7950573092577,39.7950758188225,111.673726230573,112.522771182184,113.160430466675
"48",2008,"oats",26.1463633798489,35.0773435339659,76.5655736674955,80.4587786916127,81.9750419245539,82.4665819557304,80.8078277198481,37.6626233939659,59.1356905890878,68.5323607051424,62.4257940422012,69.0635223104365,71.9650682110247,29.5223210933777,81.65931633053,29.5222572945685,76.2677576463066,29.522253498468,76.2829774009435,79.7049696182811,81.65931633053,83.3295382631272,29.5222440609944,29.5223202871771,81.7006325514026,82.7231060288547,83.3295382631272
